feature,importance,std
promised_days,0.012567667008564848,0.00215189448515316
customer_state,0.0009394089727406962,0.005949249625449045
freight_value,-0.004615107432473092,0.0032693151764434923
item_count,-0.01364385167177777,0.0014361058771860324
purchase_weekday,-0.015250595733185069,0.0016010383897957236
category,-0.016175360259933214,0.0018464067911021997
seller_count,-0.016533362918347436,0.0007113301058700874
weight_g,-0.017180379638601403,0.0023728035486641035
interstate,-0.017600012564024645,0.002699914827942
purchase_hour,-0.017898430476611268,0.002943253053057426
price,-0.018011894754204547,0.0018707312606484584
volume_cm3,-0.018904200283834285,0.002443917660353443
seller_state,-0.021607349835339212,0.0035628032599039736
