month,orders,late_rate,product_value
2017-01,750,0.0293,111798.36
2017-02,1653,0.0296,234223.4
2017-03,2546,0.0456,359198.85
2017-04,2303,0.0656,340669.68
2017-05,3545,0.0299,489159.25
2017-06,3135,0.0303,421923.37
2017-07,3872,0.0279,481604.52
2017-08,4193,0.0291,554699.7
2017-09,4150,0.0439,607399.67
2017-10,4478,0.0418,648247.65
2017-11,7288,0.124,987648.07
2017-12,5513,0.0746,726033.19
2018-01,7069,0.057,924645.0
2018-02,6555,0.1413,826437.13
2018-03,7003,0.1896,953356.25
2018-04,6798,0.045,973534.09
2018-05,6749,0.0656,977544.69
2018-06,6096,0.0116,855591.97
2018-07,6156,0.0338,867486.47
