customer_state,orders,late_orders,late_rate,mean_delivery_days
AL,380,85,0.2237,24.95
MA,684,123,0.1798,21.91
SE,309,51,0.165,22.1
PI,455,66,0.1451,19.77
CE,1218,176,0.1445,21.6
BA,3094,395,0.1277,19.74
RJ,11587,1453,0.1254,15.73
PA,899,106,0.1179,24.23
ES,1889,214,0.1133,16.09
PB,488,52,0.1066,20.79
PE,1504,149,0.0991,18.79
RN,450,44,0.0978,19.53
TO,261,25,0.0958,17.93
MS,666,58,0.0871,15.66
SC,3336,285,0.0854,15.3
GO,1833,125,0.0682,15.94
RS,5034,316,0.0628,15.6
MT,846,53,0.0626,18.37
DF,1931,113,0.0585,13.22
MG,10619,507,0.0477,12.28
PR,4576,189,0.0413,12.25
SP,37235,1532,0.0411,8.95
RO,235,7,0.0298,19.6
AM,141,4,0.0284,26.62
